station,city,state,latitude,longitude,last_update,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2
"32Bungalows, Bhilai - CECB",Bhilai,Chhattisgarh,21.194815,81.31477,2026-07-03 21:00:00,8.0,3.0,7.0,20.0,11.0,,12.0
"AIIMS, Raipur - CECB",Raipur,Chhattisgarh,21.258815,81.578979,2026-07-03 21:00:00,16.0,4.0,5.0,13.0,16.0,11.0,5.0
"Alipur, Delhi - DPCC",Delhi,Delhi,28.815329,77.15301,2026-07-03 21:00:00,39.0,,21.0,33.0,105.0,,7.0
"Ambedkar Nagar, Nellore - APPCB ",Nellore,Andhra Pradesh,14.438164,79.966814,2026-07-03 21:00:00,33.0,6.0,27.0,31.0,74.0,57.0,13.0
"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,16.9872867,81.7363176,2026-07-03 21:00:00,20.0,1.0,7.0,12.0,31.0,,7.0
"Anand Vihar, Delhi - DPCC",Delhi,Delhi,28.647622,77.315809,2026-07-03 21:00:00,54.0,7.0,30.0,24.0,130.0,104.0,10.0
"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,28.695381,77.181665,2026-07-03 21:00:00,56.0,9.0,24.0,13.0,97.0,62.0,12.0
"Aya Nagar, Delhi - IITM",Delhi,Delhi,28.4706914,77.1099364,2026-07-03 21:00:00,38.0,,34.0,52.0,82.0,69.0,
"Bata Chowk, Nalbari - PCBA",Nalbari,Assam,26.446912,91.439057,2026-07-03 21:00:00,22.0,,,19.0,,,
"Bawana, Delhi - DPCC",Delhi,Delhi,28.7762,77.051074,2026-07-03 21:00:00,67.0,7.0,13.0,8.0,,,4.0
"Bhatagaon New ISBT, Raipur - CECB",Raipur,Chhattisgarh,21.219665,81.630094,2026-07-03 21:00:00,24.0,2.0,2.0,2.0,16.0,5.0,3.0
"Buddha Colony, Muzaffarpur - BSPCB",Muzaffarpur,Bihar,26.11442,85.39813,2026-07-03 21:00:00,16.0,9.0,18.0,49.0,69.0,53.0,11.0
"Burari Crossing, Delhi - IITM",Delhi,Delhi,28.7256504,77.2011573,2026-07-03 21:00:00,52.0,,16.0,206.0,89.0,68.0,
"CRRI Mathura Road, Delhi - IITM",Delhi,Delhi,28.5512005,77.2735737,2026-07-03 21:00:00,71.0,,23.0,24.0,97.0,69.0,
"Cantonment Area, Delhi - DPCC",Delhi,Delhi,28.594169,77.1251,2026-07-03 21:00:00,46.0,4.0,31.0,66.0,83.0,26.0,5.0
"Central Academy for SFS, Byrnihat - PCBA",Byrnihat,Assam,26.071318,91.87488,2026-07-03 21:00:00,49.0,4.0,6.0,30.0,79.0,88.0,30.0
"Chandni Chowk, Delhi - IITM",Delhi,Delhi,28.656756,77.227234,2026-07-03 21:00:00,95.0,6.0,19.0,48.0,99.0,124.0,50.0
"Charitra Van, Buxar - BSPCB",Buxar,Bihar,25.56752,83.966379,2026-07-03 21:00:00,23.0,3.0,9.0,33.0,47.0,58.0,30.0
"Christianpatty, Nagaon - PCBA",Nagaon,Assam,26.349082,92.68449,2026-07-03 21:00:00,21.0,4.0,1.0,11.0,56.0,63.0,12.0
"Civic Center, Bhilai - Bhilai Steel Plant",Bhilai,Chhattisgarh,21.185571,81.343175,2026-07-03 21:00:00,23.0,1.0,16.0,11.0,11.0,5.0,10.0
"Commonwealth Sports Complex, Delhi - DPCC",Delhi,Delhi,28.615828,77.271992,2026-07-03 21:00:00,72.0,5.0,33.0,70.0,87.0,74.0,13.0
"D M Colony, Bihar Sharif - BSPCB",Bihar Sharif,Bihar,25.204762,85.51496,2026-07-03 21:00:00,105.0,3.0,10.0,2.0,17.0,22.0,
"DM Office_Kachari Chowk, Bhagalpur - BSPCB",Bhagalpur,Bihar,25.251013,86.989001,2026-07-03 21:00:00,43.0,1.0,12.0,19.0,82.0,41.0,19.0
"DM Office_Kasipur, Samastipur - BSPCB",Samastipur,Bihar,25.859655,85.77944,2026-07-03 21:00:00,2.0,1.0,8.0,8.0,49.0,60.0,16.0
"DRM Office Danapur, Patna - BSPCB",Patna,Bihar,25.586562,85.043586,2026-07-03 21:00:00,30.0,9.0,32.0,15.0,50.0,42.0,6.0
"DTU, Delhi - CPCB",Delhi,Delhi,28.7500499,77.1112615,2026-07-03 21:00:00,39.0,8.0,32.0,,,86.0,28.0
"Dangi Tola, Rajgir - BSPCB",Rajgir,Bihar,25.0328,85.41948,2026-07-03 21:00:00,42.0,3.0,14.0,41.0,48.0,51.0,3.0
"Darshan Nagar, Chhapra - BSPCB",Chhapra,Bihar,25.7808257,84.7446768,2026-07-03 21:00:00,99.0,,,4.0,,,
"District Court, Eluru - APPCB",Eluru,Andhra Pradesh,16.711754,81.092095,2026-07-03 21:00:00,28.0,5.0,18.0,7.0,66.0,60.0,14.0
"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,Delhi,28.498571,77.26484,2026-07-03 21:00:00,22.0,5.0,12.0,30.0,81.0,60.0,3.0
"Dwarka-Sector 8, Delhi - DPCC ",Delhi,Delhi,28.5710274,77.0719006,2026-07-03 21:00:00,54.0,8.0,26.0,29.0,129.0,56.0,20.0
"Forest Rest House, Manguraha - BSPCB",Manguraha,Bihar,27.308328,84.531742,2026-07-03 21:00:00,33.0,1.0,6.0,31.0,,97.0,16.0
"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,Andhra Pradesh,17.72,83.3,2026-07-03 21:00:00,11.0,3.0,58.0,8.0,79.0,33.0,22.0
"Gandak Colony, Motihari - BSPCB",Motihari,Bihar,26.63086,84.90051,2026-07-03 21:00:00,13.0,,,55.0,,,
"Gangineni Cheruvu, Chittoor - APPCB",Chittoor,Andhra Pradesh,13.20488,79.097889,2026-07-03 21:00:00,18.0,8.0,30.0,38.0,64.0,64.0,16.0
"Girls College, Sivasagar - PCBA",Sivasagar,Assam,26.987634,94.636574,2026-07-03 21:00:00,16.0,9.0,11.0,43.0,24.0,10.0,8.0
