rank,feature,importance,importance_pct,cumulative_pct
1,roll7,0.40204605848775643,40.205,40.2
2,roll30,0.33583374897005924,33.583,73.79
3,month,0.0581397676199886,5.814,79.6
4,day_of_week,0.057384399766243196,5.738,85.34
5,is_hotspot_zone,0.019402740721787676,1.94,87.28
6,season_monsoon,0.016786677309286645,1.679,88.96
7,ward_name_Bande Mutt,0.015148653710744324,1.515,90.47
8,season_winter,0.009797183678730845,0.98,91.45
9,ward_name_Sarakki,0.009372696617336706,0.937,92.39
10,ward_name_Gali Anjenaya Temple ward,0.009250106950236333,0.925,93.32
11,ward_name_Marathahalli,0.008104611926810605,0.81,94.13
12,ward_name_Peenya,0.006671250310140485,0.667,94.79
13,season_summer,0.006605138633410856,0.661,95.45
14,ward_name_Vijinapura,0.006459452845573209,0.646,96.1
15,ward_name_Basaveshwara Nagar,0.00586637095228147,0.587,96.69
16,ward_name_Shakambari Nagar,0.005230556391751753,0.523,97.21
17,ward_name_Sanjaya Nagar,0.004918068966134111,0.492,97.7
18,ward_name_Nelagadderanahalli,0.004895067456318864,0.49,98.19
19,ward_name_Kalena Agrahara,0.004739856045519496,0.474,98.67
20,ward_name_Jakkasandra,0.004619660982231559,0.462,99.13
21,ward_name_Ashoka Pillar,0.004580305718128924,0.458,99.59
22,ward_name_Subhash Nagar,0.004147625939528734,0.415,100.0
