station,latitude,longitude,ward_name,PM2.5,PM10,severity,cluster,scoring_note
"BTM Layout, Bengaluru - CPCB",12.913522,77.59508,Sarakki,75.84,,75.84,0,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
"Bapuji Nagar, Bengaluru - KSPCB",12.951913,77.539784,Gali Anjenaya Temple ward,50.8,,50.8,-2,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
"City Railway Station, Bengaluru - KSPCB",12.975684,77.566075,Subhash Nagar,85.85,,85.85,1,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
"Hebbal, Bengaluru - KSPCB",13.029152,77.585901,Sanjaya Nagar,65.47,,65.47,-2,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
"Hombegowda Nagar, Bengaluru - KSPCB",12.938539,77.5901,Ashoka Pillar,68.09,,68.09,-2,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
"Jayanagar 5th Block, Bengaluru - KSPCB",12.920984,77.584908,Shakambari Nagar,78.03,,78.03,0,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
"Jigani, Bengaluru - KSPCB",12.781628,77.629915,Kalena Agrahara,72.22,,72.22,-1,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
"Kadubeesanahalli, Bengaluru - CPCB",12.938965,77.6964066,Marathahalli,72.77,,72.77,-1,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
"Kasturi Nagar, Bengaluru - KSPCB",13.003872,77.664217,Vijinapura,98.2,,98.2,-1,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
"Peenya, Bengaluru - KSPCB",13.03,77.52,Peenya,70.08,,70.08,-2,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
"RVCE Mailasandra, Bengaluru - KSPCB",12.9232191,77.5006464,Bande Mutt,96.59,,96.59,-1,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
"Sanegurava Halli, Bengaluru - KSPCB",12.9904292,77.5422438,Basaveshwara Nagar,86.77,,86.77,1,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
"Shivapura Peenya, Bengaluru - KSPCB",13.016048,77.5045057,Nelagadderanahalli,70.78,,70.78,1,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
"Silk Board, Bengaluru - KSPCB",12.917348,77.622813,Jakkasandra,77.02,,77.02,0,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
site_1553,12.951913,77.539784,Gali Anjenaya Temple ward,34.21,74.97,45.78,-2,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
site_1554,13.029152,77.585901,Sanjaya Nagar,29.15,62.46,39.04,-2,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
site_1556,12.920984,77.584908,Shakambari Nagar,33.89,70.53,43.61,-2,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
site_1558,12.917348,77.622813,Jakkasandra,31.35,107.44,52.7,-2,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
site_162,12.913522,77.59508,Sarakki,24.13,63.14,35.85,-2,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
site_163,13.03,77.52,Peenya,28.49,69.52,41.46,-2,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
site_5678,12.9232191,77.5006464,Bande Mutt,42.2,101.65,60.91,-2,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
site_5681,13.003872,77.664217,Vijinapura,34.53,74.34,46.16,-2,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
site_5686,13.016048,77.5045057,Nelagadderanahalli,32.08,73.47,44.03,-2,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
site_5729,12.781628,77.629915,Kalena Agrahara,35.41,73.7,46.53,-2,adaptive (pre-2024: PM2.5 only; 2024+: weighted)
